Player Name,Age,Team,ASR,Market Value,Nationality,Transfer History Count
Cameron Carter-Vickers,27 anni,Celtic,7.28,15M €,USA,5
Caoimhín Kelleher,26 anni,Liverpool,7.04,19.8M €,IRL,1
Carlos Augusto,26 anni,Inter,6.94,21M €,BRA,5
Carlos Giménez,22 anni,Atlético Madrid B,6.62,270K €,ESP,4
Carney Chukwuemeka,21 anni,Borussia Dortmund,6.89,13.6M €,ENG,4
Casper Nielsen,31 anni,Club Brugge KV,6.78,2.7M €,DEN,4
Castello Lukeba,22 anni,RB Leipzig,6.93,49M €,FRA,3
Cedric Itten,28 anni,Young Boys,6.90,1.8M €,SUI,5
Charalampos Lykogiannis,31 anni,Bologna,7.07,1.5M €,GRE,5
Charles De Ketelaere,24 anni,Atalanta,7.24,35M €,BEL,5
Chema Andrés,20 anni,Real Madrid Castilla,6.92,485K €,ESP,1
Cherif Ndiaye,29 anni,FK Crvena zvezda,7.23,4.3M €,SEN,5
Chris Bedia,N29 anni,Young Boys,6.81,2.6M €,CIV,14
Chris Führich,27 anni,VfB Stuttgart,7.00,17.5M €,GER,5
Chris-Kévin Nadje,23 anni,Feyenoord,6.59,1.5M €,CIV,3
Christian Fassnacht,31 anni,Young Boys,7.16,2.1M €,SUI,9
Christian Mawissa,20 anni,AS Monaco,6.53,11M €,FRA,1
Christian McFarlane,18 anni,Manchester City U21,6.40,1.9M €,ENG,2
Christoph Baumgartner,25 anni,RB Leipzig,6.83,15.6M €,AUT,3
Christopher Olivier,19 anni,VfB Stuttgart II U21,6.73,460K €,AUT,1
Christos Alexiou,19 anni,Inter U20,6.97,385K €,GRE,0
Chuba Akpom,29 anni,Lille,6.93,7.7M €,ENG,5
Claudio Echeverri,19 anni,Manchester City,7.00,17.2M €,ARG,5
Clément Lenglet,29 anni,Atlético Madrid,7.02,7.8M €,FRA,5
Cody Gakpo,26 anni,Liverpool,7.26,67M €,NED,2
Colby Donovan,18 anni,Celtic B U21,7.30,Not found,SCO,Not found
Cole Campbell,19 anni,Borussia Dortmund,7.10,1.4M €,USA,1
Conor Bradley,21 anni,Liverpool,6.83,27M €,NIR,2
Conor Gallagher,25 anni,Atlético Madrid,6.88,39M €,ENG,5
Conrad Harder,20 anni,Sporting,6.98,26M €,DEN,2
Couhaib Driouech,23 anni,PSV Eindhoven,6.93,4.7M €,MAR,3
Curtis Jones,24 anni,Liverpool,6.95,48M €,ENG,1
César Blackman,27 anni,ŠK Slovan Bratislava,6.87,2.6M €,PAN,2
Daizen Maeda,27 anni,Celtic,7.12,10.7M €,JPN,11
Daley Blind,35 anni,Girona FC,7.03,2.1M €,NED,5
Dan Ndoye,24 anni,Bologna,7.13,24M €,SUI,5
Dane Murray,21 anni,Celtic B U21,6.93,145K €,SCO,3
Dani Carvajal,33 anni,Real Madrid,7.27,9.7M €,ESP,3
Dani Ceballos,28 anni,Real Madrid,7.06,10.5M €,ESP,5
Dani Olmo,27 anni,Barcelona,7.22,58M €,ESP,4
Dani Rodríguez,19 anni,Barcelona Atlètic,7.07,105K €,ESP,1
Daniel Bragança,25 anni,Sporting,7.06,10.9M €,POR,3
Daniel Cummings,19 anni,Celtic B U21,6.15,Not found,SCO,Not found
Daniel Maldini,23 anni,Atalanta,6.73,10.6M €,ITA,5
Daniel Yáñez,18 anni,Real Madrid Castilla,6.94,160K €,ESP,Not found
Daniil Khudyakov,21 anni,SK Sturm Graz,6.80,970K €,RUS,3
Danylo Ignatenko,28 anni,ŠK Slovan Bratislava,6.86,1.5M €,UKR,5
Daouda Guindo,22 anni,Red Bull Salzburg,6.91,3.1M €,MLI,5
Darian Maleš,24 anni,Young Boys,6.91,2.6M €,SUI,5
Dario Marzino,28 anni,Young Boys,6.50,24K €,SUI,3
Darwin Núñez,25 anni,Liverpool,6.77,45M €,URU,4
David Alaba,32 anni,Real Madrid,6.62,9M €,AUT,5
David Jiménez,21 anni,Real Madrid,7.21,315K €,ESP,2
David Lelle,22 anni,Borussia Dortmund II U23,6.84,185K €,GER,3
David López,35 anni,Girona FC,6.85,1.8M €,ESP,5
David Murar,21 anni,ŠK Slovan Bratislava B U21,-,46K €,SVK,1
David Raya,29 anni,Arsenal,7.03,43M €,ESP,5
David Đurić,19 anni,FK Crvena zvezda U19,6.85,155K €,SRB,Not found
Davide Bartesaghi,19 anni,Milan Futuro,7.40,1.1M €,ITA,Not found
Davide Calabria,28 anni,Bologna,Not found,8.1M €,ITA,3
Davide Frattesi,25 anni,Inter,6.76,29M €,ITA,5
Dawda Camara,22 anni,Girona B,6.50,Not found,MTN,1
Dedryck Boyata,34 anni,Senza squadra,6.62,Not found,BEL,4
Denilson Santos,18 anni,Sporting CP B,6.75,Not found,POR,1
Denzel Dumfries,29 anni,Inter,7.12,29M €,NED,5
Diego Aguado,18 anni,Real Madrid U19,7.19,1.1M €,ESP,Not found
Diego Arroyo,20 anni,Shakhtar Donetsk,6.93,515K €,BOL,3
Diego Callai,20 anni,Sporting CP B,-,1.1M €,BRA,4
Diego Kochen,19 anni,Barcelona Atlètic,7.11,455K €,USA,1
Dimitri Lavalée,28 anni,SK Sturm Graz,6.94,4.1M €,BEL,5
Diogo Jota,28 anni,Liverpool,6.75,44M €,POR,5
Diogo Pinto,20 anni,Sporting,-,515K €,POR,1
Diogo Prioste,21 anni,Benfica B,7.07,1.6M €,POR,1
Divin Mubama,20 anni,Manchester City U21,6.85,3.7M €,ENG,1
Djomar Giersthove,20 anni,Feyenoord U21,6.35,Not found,NED,Not found
Dmytro Kryskiv,24 anni,Shakhtar Donetsk,6.83,6.7M €,UKR,3
Donyell Malen,26 anni,Aston Villa,6.76,27M €,NED,4
Dorgeles Nene,22 anni,Red Bull Salzburg,7.23,8.4M €,MLI,5
Douglas Luiz,27 anni,Juventus,6.82,41M €,BRA,5
Dávid Hancko,27 anni,Feyenoord,7.13,33M €,SVK,5
Désiré Doué,19 anni,Paris Saint-Germain,7.33,62M €,FRA,2
Ebenezer Annan,22 anni,FK Crvena zvezda,7.14,1.2M €,GHA,5
Ebrima Colley,25 anni,Young Boys,6.85,1.9M €,GAM,5
Edan Diop,20 anni,AS Monaco,6.53,1.4M €,FRA,2
Eder Militão,27 anni,Real Madrid,7.17,42M €,BRA,3
Ederson,31 anni,Manchester City,6.98,23M €,BRA,4
Edimilson Fernandes,29 anni,Stade Brestois,6.65,3.8M €,SUI,5
Edmund Baidoo,19 anni,Red Bull Salzburg,7.02,2.9M €,GHA,2
Eduardo Camavinga,22 anni,Real Madrid,7.08,67M €,FRA,3
Eduardo Felicíssimo,18 anni,Sporting,6.76,970K €,POR,1
Eduardo Quaresma,23 anni,Sporting,6.98,14.9M €,POR,5
Eguinaldo,20 anni,Shakhtar Donetsk,6.87,2.9M €,BRA,2
El Chadaïlle Bitshiabu,20 anni,RB Leipzig,6.92,11.6M €,FRA,2
Elias Benkara,18 anni,Borussia Dortmund U19,6.70,Not found,GER,Not found
Elias Cobbaut,27 anni,AC Sparta Praha,6.71,2.6M €,BEL,5
Eliesse Ben Seghir,20 anni,AS Monaco,7.03,31M €,MAR,1
Eliot Bujupi,18 anni,VfB Stuttgart II U21,6.90,485K €,KOS,1
Emanuel Aiwu,24 anni,SK Sturm Graz,6.80,2.9M €,AUT,5
Emerson Royal,26 anni,Milan,6.96,10.8M €,BRA,5
Emil Holm,25 anni,Bologna,7.09,7.2M €,SWE,5
Emiliano Buendia,28 anni,Bayer 04 Leverkusen,6.82,16.5M €,ARG,5
Emiliano Martínez,32 anni,Aston Villa,7.14,24M €,ARG,5
Emir Karic,27 anni,SK Sturm Graz,6.65,720K €,AUT,4
Emre Can,31 anni,Borussia Dortmund,6.95,7.5M €,GER,5
