Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Manuel Neuer,39,FC Bayern München,6.83,GER,2,4100000,False,0.9774999999999999,0.11662162162162162,0.22,1.0,3,1.0,1.676,4.075
Manuel Silva,23,Benfica,6.98,POR,3,10900000,False,0.6174999999999999,0.1441891891891892,0.28,1.0,2,0.7,1.427,4.891
Marc Aznar,19,Girona U19,7.0,ESP,0,6400000,True,0.5275,0.12594594594594596,0.1,0.1,3,1.0,0.816,8.578
Marc Bernal,17,Barcelona,7.0,ESP,1,4900000,False,0.48250000000000004,0.11986486486486488,0.16,0.1,1,0.4,0.601,11.647
Marc Casadó,21,Barcelona,7.04,ESP,2,29000000,False,0.5725,0.21756756756756757,0.22,0.1,1,0.4,0.704,10.0
Marc-Aurèle Caillard,31,Lille,6.25,FRA,5,160000,False,0.7975,0.10064864864864866,0.4,0.1,3,1.0,1.189,5.257
Marcel Lotka,23,Borussia Dortmund,7.38,POL,4,1400000,False,0.6174999999999999,0.10567567567567568,0.33999999999999997,0.1,2,0.7,0.931,7.927
Marco Asensio,29,Aston Villa,7.14,ESP,5,21000000,False,0.7525,0.18513513513513513,0.4,0.1,3,1.0,1.175,6.077
Marco Bizot,34,Stade Brestois,7.06,NED,5,3200000,False,0.865,0.11297297297297298,0.4,1.0,3,1.0,1.764,4.002
Marco Brescianini,25,Atalanta,6.74,ITA,5,7400000,False,0.6625,0.13,0.4,0.1,2,0.7,1.004,6.713
Marco Carnesecchi,24,Atalanta,7.1,ITA,5,26000000,False,0.64,0.20540540540540542,0.4,0.1,2,0.7,1.001,7.093
Marcos Llorente,30,Atlético Madrid,7.2,ESP,5,29000000,False,0.775,0.21756756756756757,0.4,0.1,3,1.0,1.189,6.056
Mario Hermoso,29,Bayer 04 Leverkusen,6.87,ESP,4,9500000,False,0.7525,0.13851351351351351,0.33999999999999997,0.1,3,1.0,1.122,6.123
Mario Rivas,18,Real Madrid C,6.84,ESP,0,195000,False,0.505,0.10079054054054054,0.1,0.1,3,1.0,0.803,8.518
Marko Arnautović,36,Inter,6.81,AUT,5,3700000,False,0.91,0.115,0.4,0.1,3,1.0,1.247,5.461
Marlon Gomes,21,Shakhtar Donetsk,6.96,BRA,2,10300000,False,0.5725,0.14175675675675675,0.22,1.0,3,1.0,1.476,4.715
Marquinhos,31,Paris Saint-Germain,7.35,BRA,5,39000000,False,0.7975,0.25810810810810814,0.4,1.0,1,0.4,1.505,4.884
Marten de Roon,34,Atalanta,7.12,NED,5,6800000,False,0.865,0.12756756756756757,0.4,1.0,2,0.7,1.645,4.328
Martin Baturina,22,GNK Dinamo Zagreb,7.43,CRO,3,20000000,False,0.5950000000000001,0.1810810810810811,0.28,1.0,3,1.0,1.54,4.825
Martin Erlić,27,Bologna,6.84,CRO,5,4800000,False,0.7075,0.11945945945945946,0.4,1.0,3,1.0,1.686,4.057
Martin Kern,19,SK Sturm Graz,6.71,HUN,1,260000,False,0.5275,0.10105405405405406,0.16,0.1,3,1.0,0.862,7.784
Marvin Keller,23,Young Boys,7.29,SUI,5,5300000,False,0.6174999999999999,0.1214864864864865,0.4,1.0,3,1.0,1.641,4.442
Massadio Haïdara,32,Stade Brestois,6.85,MLI,5,1900000,False,0.8200000000000001,0.10770270270270271,0.4,1.0,3,1.0,1.741,3.935
Matej Gashtarov,18,FK Crvena zvezda U19,6.5,MKD,0,6400000,True,0.505,0.12594594594594596,0.1,0.1,3,1.0,0.805,8.075
Mateo Kovačić,31,Manchester City,7.21,CRO,5,24000000,False,0.7975,0.1972972972972973,0.4,1.0,1,0.4,1.498,4.813
Matevž Dajčar,23,Atalanta U23,6.79,SLO,1,110000,False,0.6174999999999999,0.10044594594594596,0.16,1.0,3,1.0,1.447,4.692
Matheus Nunes,26,Manchester City,7.35,POR,4,33000000,False,0.685,0.2337837837837838,0.33999999999999997,1.0,1,0.4,1.398,5.258
Matheus Reis,30,Sporting,6.85,BRA,5,7400000,False,0.775,0.13,0.4,1.0,3,1.0,1.72,3.983
Matteo Bignetti,21,SK Sturm Graz,7.35,AUT,2,260000,False,0.5725,0.10105405405405406,0.22,0.1,3,1.0,0.932,7.886
