Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Miguel Gutiérrez,23,Girona FC,7.06,ESP,3,27000000,False,0.575,0.12162162162162163,0.2,0.5,3,1.0,2.397,2.945
Mika Biereth,22,AS Monaco,7.23,DEN,5,26000000,False,0.55,0.11711711711711711,0.3333333333333333,1.0,3,1.0,3.0,2.41
Mike Aidoo,19,Inter U20,6.92,ITA,0,390000,False,0.475,0.0017567567567567568,0.0,0.5,3,1.0,1.977,3.5
Mike Maignan,29,Milan,7.18,FRA,3,27000000,False,0.725,0.12162162162162163,0.2,0.5,3,1.0,2.547,2.819
Mikel Merino,28,Arsenal,7.07,ESP,5,36000000,False,0.7,0.16216216216216217,0.3333333333333333,0.5,1,0.3333333333333333,2.029,3.484
Milson,25,FK Crvena zvezda,7.08,ANG,5,5200000,False,0.625,0.023423423423423424,0.3333333333333333,1.0,3,1.0,2.982,2.374
Min-jae Kim,28,FC Bayern München,7.11,KOR,5,46000000,False,0.7,0.2072072072072072,0.3333333333333333,1.0,3,1.0,3.241,2.194
Min-su Kim,19,Girona B,6.62,KOR,1,1100000,False,0.475,0.004954954954954955,0.06666666666666667,1.0,3,1.0,2.547,2.599
Mirko Ivanić,31,FK Crvena zvezda,7.45,MNE,5,4900000,False,0.775,0.022072072072072072,0.3333333333333333,0.5,3,1.0,2.63,2.833
Mohamed Camara,27,Young Boys,6.91,GUI,5,2200000,False,0.675,0.00990990990990991,0.3333333333333333,1.0,3,1.0,3.018,2.29
Morten Hjulmand,25,Sporting,7.13,DEN,3,48000000,False,0.625,0.21621621621621623,0.2,1.0,3,1.0,3.041,2.345
Mykola Matvienko,29,Shakhtar Donetsk,7.12,UKR,4,16900000,False,0.725,0.07612612612612613,0.26666666666666666,0.5,3,1.0,2.568,2.773
Myles Lewis-Skelly,18,Arsenal,6.76,ENG,1,30000000,False,0.45,0.13513513513513514,0.06666666666666667,1.0,1,0.3333333333333333,1.985,3.406
Nabil Bentaleb,30,Lille,6.66,ALG,4,8800000,False,0.75,0.03963963963963964,0.26666666666666666,1.0,3,1.0,3.056,2.179
Nahuel Molina,27,Atlético Madrid,6.82,ARG,5,24000000,False,0.675,0.10810810810810811,0.3333333333333333,1.0,3,1.0,3.116,2.189
Naim Byar,20,Bologna U19,6.87,MAR,1,535000,False,0.5,0.00240990990990991,0.06666666666666667,1.0,3,1.0,2.569,2.674
Nathan Aké,30,Manchester City,6.88,NED,5,29000000,False,0.75,0.13063063063063063,0.3333333333333333,1.0,1,0.3333333333333333,2.547,2.701
Nathan Butler-Oyedeji,22,Arsenal U21,6.53,ENG,2,525000,False,0.55,0.002364864864864865,0.13333333333333333,1.0,3,1.0,2.686,2.431
Nathanaël Mbuku,23,GNK Dinamo Zagreb,6.95,COD,5,1800000,False,0.575,0.008108108108108109,0.3333333333333333,1.0,3,1.0,2.916,2.383
Neto,25,Chelsea,7.04,POR,5,48000000,False,0.625,0.21621621621621623,0.3333333333333333,1.0,1,0.3333333333333333,2.508,2.807
Newerton,19,Shakhtar Donetsk,7.02,BRA,1,2900000,False,0.475,0.013063063063063063,0.06666666666666667,1.0,3,1.0,2.555,2.748
Ngal'ayel Mukau,20,Lille,6.8,COD,3,14200000,False,0.5,0.06396396396396396,0.2,1.0,3,1.0,2.764,2.46
Nico González,23,Manchester City,7.14,ESP,5,43000000,False,0.575,0.19369369369369369,0.3333333333333333,0.5,1,0.3333333333333333,1.935,3.69
Nico O'Reilly,20,Manchester City,7.19,ENG,0,7600000,False,0.5,0.03423423423423423,0.0,1.0,1,0.3333333333333333,1.868,3.849
Nicola Bagnolini,21,Bologna,7.04,ITA,1,190000,False,0.525,0.0008558558558558559,0.06666666666666667,0.5,3,1.0,2.093,3.364
Nicolas Kühn,25,Celtic,7.38,GER,5,11300000,False,0.625,0.0509009009009009,0.3333333333333333,1.0,3,1.0,3.009,2.453
Nicolás Capaldo,26,Red Bull Salzburg,6.97,ARG,2,5300000,False,0.65,0.023873873873873873,0.13333333333333333,1.0,2,0.6666666666666666,2.474,2.817
Nicolás González,27,Juventus,6.98,ARG,5,29000000,False,0.675,0.13063063063063063,0.3333333333333333,1.0,1,0.3333333333333333,2.472,2.824
