Player Name
Seedy Jatta
Senny Mayulu
Serge Gnabry
Sergiño Dest
Serhou Guirassy
Serigne Diop
Shandre Campbell
Shiloh 't Zand
Silas Katompa Mvumpa
Simon Mignolet
Soriba Diaoune
Soumaïla Coulibaly
Soungoutou Magassa
Spike Brits
Stefan Drljača
Stefan Gudelj
Stefan Hierländer
Stefan de Vrij
Stephano Carrillo
Séan McArdle
Takumi Minamino
Takumu Kawamura
Tammy Abraham
Tarek Buchmann
Tay Abed
Teun Koopmeiners
Theo Hernández
Thibaut Courtois
Thijs Dallinga
Thijs Kraaijeveld
Thilo Kehrer
Thomas Beelen
Thomas Berenbruch
Thomas Kastanaras
Thomas Lemar
Thomas Meunier
Thomas Müller
Tidiam Gomis
Tigran Barseghyan
Timi Elšnik
Tochi Chukwuani
Tomas Baković
Tomi Horvat
Tommaso Del Lungo
Trent Alexander-Arnold
Trent Doherty
Trey Nyoni
Tygo Land
Tyler Meiser
Tyler Morton
Tyrell Malacia
Tyrone Mings
Uchenna Aririerisim
Valentin Oelz
Valeriy Bondar
Vasilije Adžić
Vasilije Kostov
Veljko Birmančević
Veljko Milosavljević
Victor Boniface
Victor Eletu
Victor Olatunji
Viggo Gebel
Viktor Gyökeres
Vito Mannone
Vladyslav Krapyvtsov
Vuk Draškić
Vítězslav Jaroš
Wahid Faghir
Waldemar Anton
Walter Benítez
Warren Bondo
Wataru Endō
Wessel Kuhn
Weston McKennie
Wilfried Kanga
William Bøving
Wisdom Amey
Wisdom Mike
Yangel Herrera
Yann Bisseck
Yann Lienard
Yannik Keitel
Yannik Lührs
Yegor Nazaryna
Younes Lachaab
Youssouf Fofana
Yukhym Konoplya
Yunus Musah
Yáser Asprilla
Zachary Athekame
Zeki Amdouni
Zeno Debast
Álex Grimaldo
Álex Jiménez
Álvaro Cortés
Álvaro Fernández
Ángel Correa
Ángel Di María
Éderson
İlkay Gündoğan
Łukasz Łakomy
